DateTime;UserName;Category;Log
08-04-2020 09:38:32;EX99946;Information;Sucesso na inicialização do Robot
08-04-2020 09:38:32;EX99946;Information;Obter Lista de Colaboradores
08-04-2020 09:38:34;EX99946;Information;Iniciou o processamento do relatório HH_CATS
08-04-2020 09:38:45;EX99946;Information;Ausencias: 545.5
08-04-2020 09:38:45;EX99946;Information;Opex: 2018.1
08-04-2020 09:38:45;EX99946;Information;Capex: 517
08-04-2020 09:38:45;EX99946;Information;Serviços: 23
08-04-2020 09:38:45;EX99946;Information;Total: 3103.6
08-04-2020 09:38:45;EX99946;Information;GrandTotal: 2558.1
08-04-2020 09:39:00;EX99946;Information;Gerou PDF a partir relatório com sucesso
08-04-2020 09:39:00;EX99946;Information;Finaliza robot
08-04-2020 09:40:43;EX99946;Information;Sucesso na inicialização do Robot
08-04-2020 09:40:43;EX99946;Information;Obter Lista de Colaboradores
08-04-2020 09:40:44;EX99946;Information;Iniciou o processamento do relatório HH_CATS
08-04-2020 09:40:54;EX99946;Information;Ausencias: 0
08-04-2020 09:40:54;EX99946;Information;Opex: 1822.9
08-04-2020 09:40:54;EX99946;Information;Capex: 93.5
08-04-2020 09:40:54;EX99946;Information;Serviços: 0
08-04-2020 09:40:54;EX99946;Information;Total: 1916.4
08-04-2020 09:40:54;EX99946;Information;GrandTotal: 1916.4
08-04-2020 09:41:09;EX99946;Information;Gerou PDF a partir relatório com sucesso
08-04-2020 09:41:09;EX99946;Information;Finaliza robot
08-04-2020 09:48:41;EX99946;Information;Sucesso na inicialização do Robot
08-04-2020 09:48:41;EX99946;Information;Obter Lista de Colaboradores
08-04-2020 09:48:43;EX99946;Information;Iniciou o processamento do relatório HH_CATS
08-04-2020 09:48:55;EX99946;Information;Ausencias: 0
08-04-2020 09:48:55;EX99946;Information;Opex: 1822.9
08-04-2020 09:48:55;EX99946;Information;Capex: 93.5
08-04-2020 09:48:55;EX99946;Information;Serviços: 0
08-04-2020 09:48:55;EX99946;Information;Total: 1916.4
08-04-2020 09:48:55;EX99946;Information;GrandTotal: 1916.4
08-04-2020 09:49:11;EX99946;Information;Gerou PDF a partir relatório com sucesso
08-04-2020 09:49:11;EX99946;Information;Finaliza robot
08-04-2020 09:54:35;EX99946;Information;Sucesso na inicialização do Robot
08-04-2020 09:54:35;EX99946;Information;Obter Lista de Colaboradores
08-04-2020 09:54:37;EX99946;Information;Iniciou o processamento do relatório HH_CATS
08-04-2020 09:54:47;EX99946;Information;Ausencias: 545.5
08-04-2020 09:54:47;EX99946;Information;Opex: 2018.1
08-04-2020 09:54:47;EX99946;Information;Capex: 517
08-04-2020 09:54:47;EX99946;Information;Serviços: 23
08-04-2020 09:54:47;EX99946;Information;Total: 3103.6
08-04-2020 09:54:47;EX99946;Information;GrandTotal: 2558.1
08-04-2020 09:55:02;EX99946;Information;Gerou PDF a partir relatório com sucesso
08-04-2020 09:55:03;EX99946;Information;Finaliza robot
08-04-2020 12:06:28;EX99946;Information;Sucesso na inicialização do Robot
08-04-2020 12:06:28;EX99946;Information;Obter Lista de Colaboradores
08-04-2020 12:06:30;EX99946;Information;Iniciou o processamento do relatório HH_CATS
08-04-2020 12:06:41;EX99946;Information;Ausencias: 545.5
08-04-2020 12:06:41;EX99946;Information;Opex: 2018.1
08-04-2020 12:06:41;EX99946;Information;Capex: 517
08-04-2020 12:06:41;EX99946;Information;Serviços: 23
08-04-2020 12:06:41;EX99946;Information;Total: 3103.6
08-04-2020 12:06:41;EX99946;Information;GrandTotal: 2558.1
08-04-2020 12:07:08;EX99946;Information;Gerou PDF a partir relatório com sucesso
08-04-2020 12:07:08;EX99946;Information;Finaliza robot
08-04-2020 12:15:45;EX99946;Information;Sucesso na inicialização do Robot
08-04-2020 12:15:46;EX99946;Information;Obter Lista de Colaboradores
